,family_members,individuals,region,state,state_pop
0,864.0,2570.0,East South Central,Alabama,4887681
1,582.0,1434.0,Pacific,Alaska,735139
2,2606.0,7259.0,Mountain,Arizona,7158024
3,432.0,2280.0,West South Central,Arkansas,3009733
4,20964.0,109008.0,Pacific,California,39461588
5,3250.0,7607.0,Mountain,Colorado,5691287
6,1696.0,2280.0,New England,Connecticut,3571520
7,374.0,708.0,South Atlantic,Delaware,965479
8,3134.0,3770.0,South Atlantic,District of Columbia,701547
9,9587.0,21443.0,South Atlantic,Florida,21244317
10,2556.0,6943.0,South Atlantic,Georgia,10511131
11,2399.0,4131.0,Pacific,Hawaii,1420593
12,715.0,1297.0,Mountain,Idaho,1750536
13,3891.0,6752.0,East North Central,Illinois,12723071
14,1482.0,3776.0,East North Central,Indiana,6695497
15,1038.0,1711.0,West North Central,Iowa,3148618
16,773.0,1443.0,West North Central,Kansas,2911359
17,953.0,2735.0,East South Central,Kentucky,4461153
18,519.0,2540.0,West South Central,Louisiana,4659690
19,1066.0,1450.0,New England,Maine,1339057
20,2230.0,4914.0,South Atlantic,Maryland,6035802
21,13257.0,6811.0,New England,Massachusetts,6882635
22,3142.0,5209.0,East North Central,Michigan,9984072
23,3250.0,3993.0,West North Central,Minnesota,5606249
24,328.0,1024.0,East South Central,Mississippi,2981020
25,2107.0,3776.0,West North Central,Missouri,6121623
26,422.0,983.0,Mountain,Montana,1060665
27,676.0,1745.0,West North Central,Nebraska,1925614
28,486.0,7058.0,Mountain,Nevada,3027341
29,615.0,835.0,New England,New Hampshire,1353465
30,3350.0,6048.0,Mid-Atlantic,New Jersey,8886025
31,602.0,1949.0,Mountain,New Mexico,2092741
32,52070.0,39827.0,Mid-Atlantic,New York,19530351
33,2817.0,6451.0,South Atlantic,North Carolina,10381615
34,75.0,467.0,West North Central,North Dakota,758080
35,3320.0,6929.0,East North Central,Ohio,11676341
36,1048.0,2823.0,West South Central,Oklahoma,3940235
37,3337.0,11139.0,Pacific,Oregon,4181886
38,5349.0,8163.0,Mid-Atlantic,Pennsylvania,12800922
39,354.0,747.0,New England,Rhode Island,1058287
40,851.0,3082.0,South Atlantic,South Carolina,5084156
41,323.0,836.0,West North Central,South Dakota,878698
42,1744.0,6139.0,East South Central,Tennessee,6771631
43,6111.0,19199.0,West South Central,Texas,28628666
44,972.0,1904.0,Mountain,Utah,3153550
45,511.0,780.0,New England,Vermont,624358
46,2047.0,3928.0,South Atlantic,Virginia,8501286
47,5880.0,16424.0,Pacific,Washington,7523869
48,222.0,1021.0,South Atlantic,West Virginia,1804291
49,2167.0,2740.0,East North Central,Wisconsin,5807406
50,205.0,434.0,Mountain,Wyoming,577601
